PERIOD,LSF0,LSF1,LSF2,LSF3,LSF4,LSF5,LSF6,LSF7,LSF8,LSF9,LSF10,HSF0,HSF1,HSF2,HSF3,HSF4,HSF5,HSF6,HSF7,HSF8,HSF9,HSF10,PSF0,PSF1,PSF2,PSF3,PSF4,PSF5,PSF6,PSF7,PSF8,PSF9,PSF10,TF0,TF1,TF2,TF3,TF4,TF5,TF6,TF7,TF8,TF9,TF10
2032,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2033,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2034,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2035,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2036,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2037,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2038,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2039,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2040,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2041,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2042,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2043,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2044,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2045,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2046,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2047,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2048,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2049,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2050,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2051,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2052,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2053,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2054,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2055,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2056,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2057,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2058,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2059,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2060,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2061,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2062,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2063,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2064,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2065,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2066,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2067,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2068,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2069,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
2070,0.195470799,0,0.009013707,0.004395113,0.051847437,0.003501192,0.004097139,0.500521454,0.047750298,0.003203218,0.180199642,0.00018833,0.015286104,0.022191531,0.050189899,0.158134279,0.014124737,0.018895759,0.43121253,0.060579428,0.047929941,0.18126746,0,0.123115578,0.014237856,0.103015075,0.027638191,0,0.025125628,0.477386935,0.001675042,0.022613065,0.20519263,0,0.135934683,0.081194995,0.151070936,0.177844343,0.061313753,0.057337504,0.131799385,0.034778921,0.127717103,0.041008377
