age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
38,1625,1645,1597,1674,1850,1784,1804,1806,1749,1781,1718,1598,1433,1263,1331,1249,1236,1953,1993,2000,1993,1980,1959,1939,1918,1905,1905,1953,1953,1953,1953,1953,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1793,1717,1788,1980,1929,1929,1951,1919,1946,1885,1797,1618,1382,1411,1487,1396,1380,2181,2227,2235,2227,2212,2189,2166,2143,2128,2128,2181,2181,2181,2181,2181,2181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1844,1922,2130,2077,2082,2106,2060,2127,2077,1975,1794,1542,1566,1466,1545,1450,1434,2266,2314,2322,2314,2298,2274,2250,2227,2211,2211,2266,2266,2266,2266,2266,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2037,2259,2222,2224,2279,2233,2325,2294,2134,1979,1748,1775,1621,1578,1663,1561,1544,2439,2491,2499,2491,2474,2448,2422,2397,2380,2380,2439,2439,2439,2439,2439,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2410,2363,2389,2461,2457,2490,2495,2332,2143,1933,1976,1810,1751,1873,1974,1853,1832,2896,2956,2966,2956,2936,2906,2875,2845,2825,2825,2896,2896,2896,2896,2896,2896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2521,2536,2638,2661,2673,2688,2536,2379,2118,2198,2014,1970,2050,2066,2178,2044,2021,3194,3261,3272,3261,3239,3205,3172,3138,3116,3116,3194,3194,3194,3194,3194,3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2693,2807,2861,2900,2892,2708,2590,2340,2415,2249,2246,2299,2268,2265,2387,2240,2216,3502,3575,3587,3575,3551,3514,3477,3440,3416,3416,3502,3502,3502,3502,3502,3502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2989,3044,3129,3096,2917,2787,2539,2656,2470,2503,2582,2571,2481,2449,2581,2422,2396,3786,3865,3879,3865,3839,3799,3760,3720,3693,3693,3786,3786,3786,3786,3786,3786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3228,3309,3310,3147,3024,2721,2876,2683,2715,2871,2889,2740,2707,2669,2813,2640,2611,4126,4213,4227,4213,4184,4141,4097,4054,4025,4025,4126,4126,4126,4126,4126,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3522,3494,3352,3222,2942,3054,2930,2979,3134,3183,3096,3063,2930,2865,3020,2834,2803,4429,4522,4538,4522,4491,4445,4398,4352,4321,4321,4429,4429,4429,4429,4429,4429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3692,3532,3465,3166,3337,3157,3252,3448,3486,3461,3450,3302,3176,3200,3373,3165,3131,4947,5051,5068,5051,5016,4964,4912,4861,4826,4826,4947,4947,4947,4947,4947,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3770,3697,3377,3561,3408,3532,3756,3826,3823,3858,3688,3593,3540,3494,3683,3456,3418,5401,5515,5534,5515,5477,5420,5364,5307,5269,5269,5401,5401,5401,5401,5401,5401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3871,3636,3838,3659,3833,4053,4192,4227,4199,4083,4049,4003,3865,4126,4349,4081,4037,6379,6512,6535,6512,6468,6401,6334,6267,6222,6222,6379,6379,6379,6379,6379,6379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3809,4068,3928,4094,4360,4522,4590,4613,4456,4389,4503,4421,4595,4845,5107,4793,4740,7490,7647,7673,7647,7595,7516,7438,7359,7307,7307,7490,7490,7490,7490,7490,7490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,4188,4189,4357,4671,4864,4935,4993,4841,4838,4951,4940,5194,5389,5419,5712,5360,5302,8377,8553,8582,8553,8495,8407,8319,8231,8172,8172,8377,8377,8377,8377,8377,8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4294,4653,4992,5246,5360,5282,5282,5306,5400,5436,5784,6031,5988,5922,6242,5858,5794,9155,9347,9379,9347,9283,9187,9091,8995,8931,8931,9155,9155,9155,9155,9155,9155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4732,5300,5598,5730,5752,5678,5807,5950,5902,6425,6677,6744,6491,6123,6454,6057,5991,9466,9664,9697,9664,9598,9499,9400,9300,9234,9234,9466,9466,9466,9466,9466,9466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,5323,5910,6119,6139,6098,6237,6410,6466,6999,7335,7484,7268,6646,6506,6858,6436,6365,10058,10269,10304,10269,10198,10093,9987,9882,9812,9812,10058,10058,10058,10058,10058,10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5932,6470,6531,6510,6733,6862,6953,7598,7932,8152,7946,7052,6646,6031,6357,5966,5901,9324,9519,9552,9519,9454,9356,9258,9161,9095,9095,9324,9324,9324,9324,9324,9324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,6362,6923,6936,7148,7413,7333,8130,8608,8683,8246,7397,5938,5211,4342,4577,4295,4248,6712,6853,6877,6853,6806,6736,6665,6595,6548,6548,6712,6712,6712,6712,6712,6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6739,7303,7609,7865,7838,8565,8973,8912,8197,6265,5514,4102,3305,2912,3069,2880,2849,4502,4596,4612,4596,4565,4518,4470,4423,4392,4392,4502,4502,4502,4502,4502,4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,7010,8006,8268,8194,8753,9040,8297,6861,5677,3863,3438,2829,2463,2757,2906,2727,2697,4262,4352,4366,4352,4322,4277,4232,4188,4158,4158,4262,4262,4262,4262,4262,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,7259,8438,8151,8764,7459,6684,5490,3648,3325,2816,2483,2121,2409,2669,2813,2640,2611,4126,4213,4227,4213,4184,4141,4097,4054,4025,4025,4126,4126,4126,4126,4126,4126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6826,7370,6334,6322,4192,3391,3063,2619,2502,2078,1840,2213,2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2422,3673,2687,2362,2482,2028,2079,2019,1857,1675,2046,2355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
