PERIOD,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
N2q72,20,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968,12968
N2q73,20,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854,854
N2q74,20,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270
N2q75,20,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899,7899
N2q81,20,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442,13442
N2q82,20,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525,12525
N2q83,20,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971,4971
N2q91,20,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234
N2q92,20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
N2q93,20,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859,3859
N2q94,20,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
N2q95,20,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
N2q96,20,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796,796
N3q1,20,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
