age,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082
38,1829,1818,1892,1853,2012,1932,1983,2029,1932,1849,1767,1554,1476,1393,1320,1239,1225,1936,1977,1983,1977,1963,1943,1923,1902,1889,1889,1936,1936,1936,1936,1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1944,1985,1936,2143,2039,2069,2163,2067,1992,1898,1744,1628,1488,1444,1368,1284,1270,2007,2049,2056,2049,2035,2014,1993,1972,1958,1958,2007,2007,2007,2007,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2135,2035,2223,2155,2195,2233,2238,2149,2041,1908,1787,1655,1521,1535,1455,1365,1350,2133,2178,2186,2178,2163,2141,2119,2096,2081,2081,2133,2133,2133,2133,2133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2167,2325,2278,2337,2366,2299,2259,2212,2056,1929,1807,1696,1630,1614,1529,1435,1420,2243,2290,2298,2290,2275,2251,2228,2204,2188,2188,2243,2243,2243,2243,2243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2461,2385,2470,2506,2460,2327,2401,2211,2082,1953,1891,1819,1723,1867,1769,1660,1642,2595,2649,2658,2649,2631,2604,2577,2549,2531,2531,2595,2595,2595,2595,2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2585,2613,2637,2600,2476,2495,2394,2248,2118,2072,1987,1917,2002,2021,1915,1797,1778,2809,2868,2878,2868,2848,2819,2789,2760,2740,2740,2809,2809,2809,2809,2809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2830,2789,2743,2665,2641,2479,2423,2270,2251,2167,2121,2202,2151,2183,2069,1941,1920,3034,3098,3108,3098,3076,3045,3013,2981,2960,2960,3034,3034,3034,3034,3034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3025,2884,2817,2806,2634,2506,2456,2431,2342,2316,2447,2393,2364,2276,2157,2024,2002,3163,3230,3241,3230,3208,3174,3141,3108,3086,3086,3163,3163,3163,3163,3163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3094,2955,2954,2784,2652,2517,2601,2545,2503,2675,2658,2607,2484,2462,2333,2190,2166,3422,3494,3506,3494,3470,3434,3398,3362,3338,3338,3422,3422,3422,3422,3422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3223,3126,2952,2826,2704,2680,2761,2712,2890,2897,2902,2805,2631,2750,2606,2446,2419,3822,3902,3916,3902,3876,3835,3795,3755,3729,3729,3822,3822,3822,3822,3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3417,3112,2978,2888,2836,2853,2888,3149,3147,3197,3105,2948,2942,2970,2814,2641,2612,4128,4214,4229,4214,4186,4142,4099,4056,4027,4027,4128,4128,4128,4128,4128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3414,3135,3076,3036,3012,3000,3387,3408,3495,3451,3284,3317,3219,3280,3108,2917,2885,4559,4654,4670,4654,4622,4575,4527,4479,4447,4447,4559,4559,4559,4559,4559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3444,3258,3227,3247,3264,3522,3712,3822,3768,3606,3715,3646,3560,3674,3482,3267,3232,5106,5213,5231,5213,5178,5124,5071,5017,4981,4981,5106,5106,5106,5106,5106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3573,3446,3467,3503,3762,3832,4113,4113,3899,4057,4088,4093,3986,4263,4040,3791,3750,5925,6049,6070,6049,6008,5946,5884,5821,5780,5780,5925,5925,5925,5925,5925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3747,3725,3729,4032,4123,4268,4436,4219,4426,4464,4552,4539,4633,4553,4315,4049,4005,6328,6461,6483,6461,6417,6350,6284,6217,6173,6173,6328,6328,6328,6328,6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4067,3968,4262,4370,4639,4674,4555,4825,4849,5015,5115,5232,4962,4818,4566,4285,4238,6696,6837,6860,6837,6790,6720,6650,6579,6532,6532,6696,6696,6696,6696,6696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4341,4546,4663,4946,4990,4702,5209,5301,5411,5625,5765,5627,5261,5177,4906,4604,4554,7195,7346,7371,7346,7296,7220,7145,7069,7019,7019,7195,7195,7195,7195,7195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4947,4914,5208,5322,4996,5302,5673,5858,6025,6249,6219,5883,5509,5576,5284,4959,4905,7750,7912,7940,7912,7858,7777,7696,7614,7560,7560,7750,7750,7750,7750,7750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,5320,5506,5644,5337,5622,5858,6253,6484,6675,6791,6479,6178,6002,6001,5687,5337,5278,8341,8516,8545,8516,8457,8370,8282,8195,8136,8136,8341,8341,8341,8341,8341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,5968,6003,5647,6030,6229,6451,6936,7241,7320,7155,6811,6723,6483,6402,6067,5693,5631,8898,9085,9116,9085,9022,8929,8836,8742,8680,8680,8898,8898,8898,8898,8898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,6444,5998,6347,6587,6840,7017,7810,7854,7703,7456,7487,7268,6887,6376,6042,5670,5608,8862,9048,9079,9048,8986,8893,8800,8707,8645,8645,8862,8862,8862,8862,8862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,6462,6714,6906,7226,7462,7979,8350,8264,7939,8111,7958,7513,6648,5886,5578,5235,5177,8181,8352,8381,8352,8295,8209,8124,8038,7980,7980,8181,8181,8181,8181,8181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,7146,7257,7583,7689,8071,7921,8155,7877,7986,7862,7440,6442,5538,5430,5146,4829,4776,7547,7705,7732,7705,7652,7573,7494,7415,7362,7362,7547,7547,7547,7547,7547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,7374,7354,7369,7648,7331,7476,7500,7534,7399,7046,6030,5021,4913,5028,4765,4471,4423,6988,7135,7159,7135,7086,7013,6939,6866,6817,6817,6988,6988,6988,6988,6988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,5999,6698,6192,5544,4462,3348,3796,4020,4059,3430,3026,3046,3157,3068,2907,2728,2699,4264,4354,4368,4354,4324,4279,4234,4190,4160,4160,4264,4264,4264,4264,4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
