toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
-38,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611,0.152262611
-37,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188,0.1239188
-36,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875,0.1171875
-35,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754,0.100767754
-34,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388,0.099863388
-33,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299,0.100770299
-32,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717,0.094178717
-31,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505,0.095520505
-30,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931,0.095936931
-29,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824,0.103308824
-28,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756,0.091153756
