toret,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
-48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-44,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607,0.0122990654205607
-43,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185,0.00789205212604185
-42,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833,0.00418426103646833
-41,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556,0.00272695447091556
-40,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655,0.00160025604096655
-39,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281,0.00177675585284281
