age,period,,,,
,2021,2022,2023,2024,2025
60,0,0,0,0,0
61,0,0,0,0,0
62,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681,0.674909330695681
63,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789,0.488757327422789
64,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144,0.364681542781144
65,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506,0.323369976681506
66,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756,0.284451852317756
67,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272,0.270695500477272
68,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815,0.237352358844815
69,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862,0.219860951834862
70,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387,0.202353582979387
71,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102,0.184937908933102
72,0.164216261919301,0.164216261919301,0.164216261919301,0.164216261919301,0.164216261919301
73,0.145757982845923,0.145757982845923,0.145757982845923,0.145757982845923,0.145757982845923
74,0.135185422815347,0.135185422815347,0.135185422815347,0.135185422815347,0.135185422815347
75,0.11523394190258,0.11523394190258,0.11523394190258,0.11523394190258,0.11523394190258
76,0.101932146660581,0.101932146660581,0.101932146660581,0.101932146660581,0.101932146660581
77,0.0965769132761403,0.0965769132761403,0.0965769132761403,0.0965769132761403,0.0965769132761403
78,0.0866795901412351,0.0866795901412351,0.0866795901412351,0.0866795901412351,0.0866795901412351
79,0.0773607506488321,0.0773607506488321,0.0773607506488321,0.0773607506488321,0.0773607506488321
80,0.0709713024282561,0.0709713024282561,0.0709713024282561,0.0709713024282561,0.0709713024282561
81,0.0605823214518867,0.0605823214518867,0.0605823214518867,0.0605823214518867,0.0605823214518867
82,0.0548900682335102,0.0548900682335102,0.0548900682335102,0.0548900682335102,0.0548900682335102
83,0.0383318544809228,0.0383318544809228,0.0383318544809228,0.0383318544809228,0.0383318544809228
84,0.0370743501914165,0.0370743501914165,0.0370743501914165,0.0370743501914165,0.0370743501914165
85,0.0376319412574576,0.0376319412574576,0.0376319412574576,0.0376319412574576,0.0376319412574576
86,0.0270974465867639,0.0270974465867639,0.0270974465867639,0.0270974465867639,0.0270974465867639
87,0.0235720761559383,0.0235720761559383,0.0235720761559383,0.0235720761559383,0.0235720761559383
88,0.0194897236002835,0.0194897236002835,0.0194897236002835,0.0194897236002835,0.0194897236002835
89,0.0250111656989728,0.0250111656989728,0.0250111656989728,0.0250111656989728,0.0250111656989728
90,0.0106269925611052,0.0106269925611052,0.0106269925611052,0.0106269925611052,0.0106269925611052
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0,0,0,0
